s->d,std,mean,max,min,num
192.168.1.41->192.168.1.55,0.0008527539223080397,0.020118347734524398,0.038632869720458984,3.504753112792969e-05,5741
192.168.1.41->192.168.1.54,0.0009309531748143542,0.020119316965512935,0.038491010665893555,0.0002110004425048828,5740
192.168.1.41->192.168.1.57,0.0009054269736365123,0.020119395524413976,0.03831601142883301,5.4836273193359375e-05,5740
192.168.1.41->192.168.1.56,0.000924713992163295,0.02011960444705456,0.03849196434020996,0.00023794174194335938,5740
192.168.1.41->192.168.1.51,1.3874838382450931,1.5045466009775799,3.0293660163879395,0.015119075775146484,76
192.168.1.21->192.168.1.41,0.0014525277434037226,0.0017754941888226635,0.029767990112304688,0.0,65043
192.168.1.41->192.168.1.53,0.006551636685639226,0.006591501253927008,0.029829978942871094,0.0,17519
192.168.1.52->192.168.1.41,0.029002561526028623,0.08627168581212913,0.1044778823852539,0.0019288063049316406,1338
192.168.1.41->192.168.1.58,0.006570162384114457,0.006591813955449639,0.029773950576782227,0.0,17519
192.168.1.252->192.168.1.41,0.15749360547532285,0.10916624281845237,0.6715760231018066,0.004221200942993164,1055
192.168.1.57->192.168.1.41,0.0008726288690815058,0.019969107204966377,0.038311004638671875,0.0004220008850097656,5783
192.168.1.41->192.168.1.52,0.029188060570467623,0.08659189116131435,0.1315929889678955,0.0006120204925537109,1333
192.168.1.43->192.168.1.41,0.0023586472035358433,0.003916261405309623,0.03048992156982422,0.0,29488
192.168.1.41->239.192.6.28,0.0005340283336938403,0.010136359549137983,0.03841114044189453,2.193450927734375e-05,11393
192.168.1.41->239.192.6.29,0.00055797604280829,0.010135488856709405,0.038290977478027344,1.5020370483398438e-05,11393
192.168.1.130->192.168.1.41,0.011764463172824481,0.030471114566125414,0.04676198959350586,2.6941299438476562e-05,3790
192.168.1.46->192.168.1.41,0.0008424932539777124,0.01997287094830188,0.03831195831298828,0.00042319297790527344,5782
192.168.1.133->224.0.1.129,12.903003304814161,24.220311323801678,42.28061008453369,12.931744813919067,4
192.168.1.120->239.192.15.255,0.000566662383970161,0.010000017573639997,0.03822898864746094,1.2874603271484375e-05,11548
192.168.1.121->224.0.1.129,7.208293557167053,37.32606041431427,44.53435397148132,30.117766857147217,3
192.168.1.112->224.0.1.129,11.553104779739382,32.70621871948242,48.11366820335388,20.294073820114136,4
192.168.1.41->239.192.6.31,0.0005125641063084332,0.010136113512549507,0.029838085174560547,1.621246337890625e-05,11393
192.168.1.41->239.192.6.30,0.0005282088689321576,0.010136354275131494,0.03841209411621094,2.09808349609375e-05,11393
192.168.1.55->192.168.1.41,0.000890199439854565,0.019969106215335472,0.03727388381958008,0.0004000663757324219,5783
192.168.1.41->192.168.1.252,0.19758813251382648,0.1410969139465107,0.717703104019165,0.0008080005645751953,814
192.168.1.54->192.168.1.41,0.0008049635592835865,0.01996913435301236,0.03849387168884277,0.0002372264862060547,5784
192.168.1.11->192.168.1.41,0.0014253784697039965,0.0017754552160614784,0.029765844345092773,0.0,65043
192.168.1.12->192.168.1.41,0.0011417391820913985,12.99951222538948,13.001859903335571,12.997933149337769,9
192.168.1.41->192.168.1.70,0.0005642442501086421,0.010127724942105462,0.030691862106323242,2.1219253540039062e-05,11403
192.168.1.134->224.0.1.129,15.685384630025691,23.129674275716145,45.24019694328308,10.528280019760132,4
192.168.1.113->224.0.1.129,16.85041905415494,23.818978389104206,47.561609983444214,10.181164026260376,4
192.168.1.22->239.192.35.192,0.001000511592826591,0.0519999630816348,0.08060908317565918,0.023283004760742188,2221
192.168.1.70->192.168.1.41,0.0005596423649671522,0.0099922454080684,0.03822898864746094,1.4066696166992188e-05,11557
192.168.1.252->224.0.0.252,0.0,0.0001850128173828125,0.0001850128173828125,0.0001850128173828125,2
192.168.1.1->192.168.1.255,1.3028044558225442,1.5923636765547202,3.589797019958496,0.2799971103668213,72
192.168.1.22->192.168.1.41,0.0003357081636379547,12.999545365571976,13.000258922576904,12.999186038970947,9
192.168.1.1->255.255.255.255,0.003445601061166405,3.000887312387165,3.021123170852661,2.998927116394043,39
192.168.1.140->224.0.1.129,11.765154957771301,45.01524007320404,56.78039503097534,33.25008511543274,3
192.168.1.51->192.168.1.41,0.008899816965230737,3.0458832946983545,3.0711309909820557,3.0304720401763916,38
192.168.1.140->239.192.18.127,0.000575155343764987,0.010000003739704949,0.038229942321777344,1.4066696166992188e-05,11548
192.168.1.142->224.0.1.129,12.903104665737368,24.220328330993652,42.280927896499634,12.932547092437744,4
192.168.1.110->239.192.14.191,0.0005233936258184136,0.009999894265789093,0.029838085174560547,1.621246337890625e-05,11548
192.168.1.140->192.168.1.41,0.011687049369579794,0.03047107756688432,0.058988094329833984,8.106231689453125e-06,3790
169.254.112.251->239.255.255.250,17.685062704044594,12.499716997146606,46.66290998458862,1.0009889602661133,6
192.168.1.41->192.168.1.11,0.0056111945504003745,0.0032814728599848417,0.029757976531982422,0.0,35189
192.168.1.41->192.168.1.12,0.0005265620123146362,0.01012840141329849,0.030685901641845703,2.2172927856445312e-05,11401
192.168.1.120->224.0.1.129,10.737772033993389,21.64656702677409,36.329610109329224,10.950078010559082,4
192.168.1.41->192.168.1.130,0.02352411838360386,0.11797459725221973,0.13147497177124023,0.0008981227874755859,979
192.168.1.41->224.0.1.129,0.39664824244607944,0.31845045822292734,0.9907269477844238,3.910064697265625e-05,359
192.168.1.111->224.0.1.129,16.850578756485337,23.81926163037618,47.562033891677856,10.1805100440979,4
192.168.1.130->224.0.1.129,0.0,48.58081603050232,48.58081603050232,48.58081603050232,2
192.168.1.53->192.168.1.41,0.0028255933028058997,0.003916417582908495,0.02976202964782715,0.0,29487
192.168.1.41->192.168.1.140,0.023310476428859882,0.11797460139650996,0.13110995292663574,1.1920928955078125e-06,979
192.168.1.1->224.0.0.252,2.434766024273394,2.4813160472446016,4.989336967468262,0.09935498237609863,46
192.168.1.252->192.168.1.255,0.00017261505126953125,0.7507565021514893,0.7509291172027588,0.7505838871002197,3
192.168.1.58->192.168.1.41,0.0037006138622006756,0.003916340576140824,0.029764175415039062,0.0,29486
192.168.1.41->192.168.1.22,0.002551282634870523,0.049941663923560545,0.05465412139892578,0.002701997756958008,2313
192.168.1.41->192.168.1.120,0.023564739839543932,0.11796748503935861,0.1383199691772461,0.0018630027770996094,978
192.168.1.122->224.0.1.129,7.400703564872625,27.378629505634308,33.85551118850708,15.442032814025879,5
169.254.112.251->224.0.0.251,23.110437512397766,31.999146580696106,55.10958409309387,8.88870906829834,3
192.168.1.143->224.0.1.129,12.902853616621032,24.220250288645428,42.28018093109131,12.930943012237549,4
192.168.1.120->192.168.1.41,0.0279233723994746,0.059489315440974286,0.10933113098144531,0.0004849433898925781,1941
192.168.1.60->224.0.0.1,0.0,60.15710186958313,60.15710186958313,60.15710186958313,2
192.168.1.41->192.168.1.31,0.005933854299790801,0.003941438559102986,0.037240028381347656,0.0,29297
192.168.1.45->192.168.1.41,0.0008128805358837442,0.019972823891460722,0.038311004638671875,0.0004239082336425781,5782
192.168.1.132->224.0.1.129,20.592931032180786,25.762146949768066,46.35507798194885,5.16921591758728,3
192.168.1.41->192.168.1.110,0.023195357695254614,0.11797443367464655,0.12665891647338867,0.002907991409301758,979
192.168.1.131->224.0.1.129,15.321432006199059,37.19886302947998,58.864864110946655,26.12562108039856,4
192.168.1.110->192.168.1.41,0.02478686683957219,0.0594832575364189,0.10203409194946289,0.0003249645233154297,1942
192.168.1.110->224.0.1.129,0.0,56.8096239566803,56.8096239566803,56.8096239566803,2
192.168.1.31->192.168.1.41,0.0018713489447192654,0.002171027389184988,0.030487060546875,0.0,53191
192.168.1.114->224.0.1.129,0.0,49.47424101829529,49.47424101829529,49.47424101829529,2
192.168.1.41->192.168.1.46,0.0008805824170572651,0.020122527369808012,0.03831601142883301,0.0004241466522216797,5739
192.168.1.41->192.168.1.44,1.41480105276133,1.5028937975565593,3.0455501079559326,0.007593870162963867,76
192.168.1.41->192.168.1.45,0.0008841914163277682,0.02012248814583822,0.03831601142883301,0.0004241466522216797,5739
192.168.1.41->192.168.1.43,0.00651544576074579,0.006591091377018344,0.029824018478393555,0.0,17520
192.168.1.41->192.168.1.21,0.0056083925475476325,0.0032820013685119376,0.029827117919921875,0.0,35186
192.168.1.130->239.192.17.63,0.0005110087735494239,0.010000021827058832,0.03822898864746094,1.4066696166992188e-05,11548
192.168.1.56->192.168.1.41,0.0008769075886841522,0.01996923453747628,0.038311004638671875,0.00042510032653808594,5783
192.168.1.144->224.0.1.129,18.475223892854086,28.18880828221639,54.18623495101929,12.931510925292969,4
192.168.1.123->224.0.1.129,18.646460285603506,22.165492236614227,43.64623808860779,3.3769991397857666,5
192.168.1.12->239.192.34.128,0.0006741958047874018,0.012003751935799238,0.038414955139160156,1.811981201171875e-05,9620
192.168.1.141->224.0.1.129,18.475320226524012,28.1885613600413,54.18604111671448,12.930513858795166,4
169.254.112.251->224.0.0.252,0.0,66.49829196929932,66.49829196929932,66.49829196929932,2
192.168.1.44->192.168.1.41,0.008797990270138303,3.046053216264055,3.070138931274414,3.031557083129883,38
192.168.1.252->255.255.255.255,0.001994316357944757,2.02342517886843,2.0290579795837402,2.0184099674224854,57
192.168.1.124->224.0.1.129,0.0,12.89139986038208,12.89139986038208,12.89139986038208,2
